payment_date,code,codeLated,amount,amountRetarded,creditId,companyId
LUNES,7000000095777012,7000000095777079,121.82,141.82,351736903880809,1
MARTES,7000000095905373,7000000095905381,292.84,312.84,354028674564300,1
MIÉRCOLES,7000000096306654,7000000096306662,147.65,167.65,358251523479506,1
JUEVES,7000000095814062,7000000095814112,323.03,343.03,352350274244469,1
VIERNES,7000000095747304,7000000095747338,236.89,256.89,351285621758889,1
SÁBADO,7000000096299636,,149.00,,357521201728742,1
DOMINGO,7000000095915703,,199.00,,354208760136136,1
LUNES,7000000095899881,,210.00,,354028674493377,1
MARTES,7000000095897521,,210.00,,354028674275501,1
MIÉRCOLES,7000000095897307,,210.00,,354028673698331,1
JUEVES,7000000095777905,,270.00,,351736903967564,1
VIERNES,7000000095786930,,260.00,,351864711000971,1
SÁBADO,7000000096294785,,129.00,,357429535759625,1
DOMINGO,7000000096296442,,129.00,,357429535922173,1
LUNES,7000000096296962,,129.00,,357429535982748,1
MARTES,7000000096295568,,129.00,,357429535773477,1
MIÉRCOLES,7000000095744871,7000000095744905,430.71,450.71,351285621615063,1
JUEVES,7000000095720574,7000000095720616,270.72,290.72,350350682436626,1
VIERNES,7000000095745548,7000000095745555,315.85,335.85,351285621636549,1
SÁBADO,7000000096299610,7000000096299628,153.78,173.78,357521201724500,1
DOMINGO,7000000095780495,7000000095780537,189.49,209.49,351864710185509,1
LUNES,7000000096300673,7000000096300681,112.78,132.78,357521201735978,1
MARTES,7000000095826256,7000000095826280,178.40,198.40,352432215472597,1
MIÉRCOLES,7000000095918319,7000000095918368,203.02,223.02,354208760169376,1
JUEVES,7000000095906660,7000000095906710,153.39,173.39,354028674812048,1
VIERNES,7000000095687765,7000000095687781,182.10,202.10,443389568400000,1
SÁBADO,7000000095687831,7000000095687872,239.02,259.02,452306128400000,1
DOMINGO,7000000095687914,7000000095687955,182.10,202.10,353100279800000,1
LUNES,7000000095687971,7000000095688003,182.10,202.10,452104614900000,1
MARTES,7000000095688045,7000000095688102,239.02,259.02,443318366100000,1
MIÉRCOLES,7000000095688136,7000000095688169,199.17,219.17,564494957000000,1
JUEVES,7000000095688201,7000000095688235,248.13,268.13,425121027100000,1
VIERNES,7000000095688268,7000000095688300,141.18,161.18,464645038700000,1
SÁBADO,7000000095688334,7000000095688367,124.57,144.57,786111471100000,1
DOMINGO,7000000095906439,7000000095906488,292.84,312.84,354028674565968,1
LUNES,7000000095688375,7000000095688409,230.72,250.72,786119793600000,1
MARTES,7000000095688425,7000000095688466,124.57,144.57,786112290300000,1
